FIPS,County,POP20
5001,Arkansas County,17486
5003,Ashley County,19657
5005,Baxter County,41932
5007,Benton County,279141
5009,Boone County,37432
5011,Bradley County,10763
5013,Calhoun County,5189
5015,Carroll County,28380
5017,Chicot County,10118
5019,Clark County,22320
5021,Clay County,14551
5023,Cleburne County,24919
5025,Cleveland County,7956
5027,Columbia County,23457
5029,Conway County,20846
5031,Craighead County,110332
5033,Crawford County,63257
5035,Crittenden County,47955
5037,Cross County,16419
5039,Dallas County,7009
5041,Desha County,11361
5043,Drew County,18219
5045,Faulkner County,126007
5047,Franklin County,17715
5049,Fulton County,12477
5051,Garland County,99386
5053,Grant County,18265
5055,Greene County,45325
5057,Hempstead County,21532
5059,Hot Spring County,33771
5061,Howard County,13202
5063,Independence County,37825
5065,Izard County,13629
5067,Jackson County,16719
5069,Jefferson County,66824
5071,Johnson County,26578
5073,Lafayette County,6624
5075,Lawrence County,16406
5077,Lee County,8857
5079,Lincoln County,13024
5081,Little River County,12259
5083,Logan County,21466
5085,Lonoke County,73309
5087,Madison County,16576
5089,Marion County,16694
5091,Miller County,43257
5093,Mississippi County,40651
5095,Monroe County,6701
5097,Montgomery County,8986
5099,Nevada County,8252
5101,Newton County,7753
5103,Ouachita County,23382
5105,Perry County,10455
5107,Phillips County,17782
5109,Pike County,10718
5111,Poinsett County,23528
5113,Polk County,19964
5115,Pope County,64072
5117,Prairie County,8062
5119,Pulaski County,391911
5121,Randolph County,17958
5123,St. Francis County,24994
5125,Saline County,122437
5127,Scott County,10281
5129,Searcy County,7881
5131,Sebastian County,127827
5133,Sevier County,17007
5135,Sharp County,17442
5137,Stone County,12506
5139,Union County,38682
5141,Van Buren County,16545
5143,Washington County,239187
5145,White County,78753
5147,Woodruff County,6320
5149,Yell County,21341
